FID,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,geom
focos_ams_ontem_hoje_ref.0b852376-accf-3798-b293-241926afd4f2,-59.75,-26.149,2019-07-08T17:40:00,AQUA_M-T,Libertador General San Martín,Chaco,Argentina,POINT (-26.149 -59.75)
focos_ams_ontem_hoje_ref.0b9239f5-1639-374b-bb6a-497ccd0428ea,-63.872,-13.935,2019-07-08T17:45:00,AQUA_M-T,Vaca Díez,El Beni,Bolivia,POINT (-13.935 -63.872)
focos_ams_ontem_hoje_ref.0b951adf-fd42-310b-a9a0-64421bc3a284,-60.648,-24.615,2019-07-08T17:40:00,AQUA_M-T,Patiño,Formosa,Argentina,POINT (-24.615 -60.648)
focos_ams_ontem_hoje_ref.0bfad1fa-25d1-37df-9c2a-984e0953737f,-66.482,-13.512,2019-07-08T17:45:00,AQUA_M-T,Yacuma,El Beni,Bolivia,POINT (-13.512 -66.482)
focos_ams_ontem_hoje_ref.0c72d58b-0014-3c6c-bbcb-6e9e1ef37ef1,-57.197,-25.184,2019-07-08T17:40:00,AQUA_M-T,Loma Grande,Cordillera,Paraguay,POINT (-25.184 -57.197)
focos_ams_ontem_hoje_ref.0c957c9e-55a7-36a2-a1fc-ad834386462b,-56.545,-13.439,2019-07-08T17:45:00,AQUA_M-T,NOVA MUTUM,MATO GROSSO,Brasil,POINT (-13.439 -56.545)
focos_ams_ontem_hoje_ref.0dadad6b-a638-35a7-a143-c49c20d222b8,-56.713,-26.888,2019-07-08T17:40:00,AQUA_M-T,Santa Rosa,Misiones,Paraguay,POINT (-26.888 -56.713)
focos_ams_ontem_hoje_ref.0ddcd766-646d-31e7-b408-31013370e879,-56.501,-22.886,2019-07-08T17:40:00,AQUA_M-T,Yby Yaù,Concepción,Paraguay,POINT (-22.886 -56.501)
focos_ams_ontem_hoje_ref.0de98c52-dda6-345a-b3ec-f49a26c915e6,-60.102,-17.934,2019-07-08T17:45:00,AQUA_M-T,Chiquitos,Santa Cruz,Bolivia,POINT (-17.934 -60.102)
focos_ams_ontem_hoje_ref.0e0e97f7-6d3b-3243-8813-6bef8e3f961d,-60.946,-22.363,2019-07-08T17:40:00,AQUA_M-T,Mariscal José Félix Estigarribia,Boquerón,Paraguay,POINT (-22.363 -60.946)
focos_ams_ontem_hoje_ref.0e295caa-2c96-3085-a353-ab7dc58aecd6,-57.823,-22.415,2019-07-08T17:40:00,AQUA_M-T,Concepción,Concepción,Paraguay,POINT (-22.415 -57.823)
focos_ams_ontem_hoje_ref.0ee598af-1ea6-3d5d-b77e-e13c5c13bb10,-50.504,-27.1,2019-07-08T17:40:00,AQUA_M-T,SANTA CECÍLIA,SANTA CATARINA,Brasil,POINT (-27.1 -50.504)
focos_ams_ontem_hoje_ref.0f0c7cab-e6be-34a0-a3f7-c6e417b1c7b1,-57.582,-23.934,2019-07-08T17:40:00,AQUA_M-T,Villa Hayes,Presidente Hayes,Paraguay,POINT (-23.934 -57.582)
focos_ams_ontem_hoje_ref.0f1bbb97-b878-36d4-b455-3bcb68b256fd,-64.323,-27.769,2019-07-08T17:40:00,AQUA_M-T,Capital,Santiago del Estero,Argentina,POINT (-27.769 -64.323)
focos_ams_ontem_hoje_ref.0faca06b-9999-364d-a7d3-894ed62c799b,-50.971,-10.971,2019-07-08T17:45:00,AQUA_M-T,LUCIARA,MATO GROSSO,Brasil,POINT (-10.971 -50.971)
focos_ams_ontem_hoje_ref.0fc950c4-d26d-339b-97bb-b2ed3e582cc9,-53.274,-9.752,2019-07-08T17:45:00,AQUA_M-T,PEIXOTO DE AZEVEDO,MATO GROSSO,Brasil,POINT (-9.752 -53.274)
focos_ams_ontem_hoje_ref.10049b13-ba40-30ba-b956-d680ad0fc9c4,-58.386,-25.155,2019-07-08T17:40:00,AQUA_M-T,Pilagás,Formosa,Argentina,POINT (-25.155 -58.386)
focos_ams_ontem_hoje_ref.109c0f8e-8a69-36ff-8cfb-79b1a0bb9cc8,-56.067,-26.68,2019-07-08T17:40:00,AQUA_M-T,San Pedro del Paraná,Itapúa,Paraguay,POINT (-26.68 -56.067)
focos_ams_ontem_hoje_ref.1164e360-cf34-3b8d-9ff4-cd95cfad0cb9,-64.107,-27.72,2019-07-08T17:40:00,AQUA_M-T,Banda,Santiago del Estero,Argentina,POINT (-27.72 -64.107)
focos_ams_ontem_hoje_ref.116711fa-c321-3eaa-862a-e80844d366d9,-54.335,-10.815,2019-07-08T17:45:00,AQUA_M-T,MARCELÂNDIA,MATO GROSSO,Brasil,POINT (-10.815 -54.335)
focos_ams_ontem_hoje_ref.11743bfb-be06-3205-86a8-f1006bb871b7,-37.951,-4.848,2019-07-08T16:10:00,AQUA_M-T,RUSSAS,CEARÁ,Brasil,POINT (-4.848 -37.951)
focos_ams_ontem_hoje_ref.11b8ba52-5210-3b3f-8230-5ac51f6f6ad5,-59.204,-27.268,2019-07-08T17:40:00,AQUA_M-T,Libertad,Chaco,Argentina,POINT (-27.268 -59.204)
focos_ams_ontem_hoje_ref.11d738fc-3a55-3286-ba83-9c57946cab97,-56.447,-11.432,2019-07-08T17:45:00,AQUA_M-T,TABAPORÃ,MATO GROSSO,Brasil,POINT (-11.432 -56.447)
focos_ams_ontem_hoje_ref.124b9b8a-4dd1-3c51-8d22-84302cdb2dbc,-64.412,-13.955,2019-07-08T17:45:00,AQUA_M-T,Mamoré,El Beni,Bolivia,POINT (-13.955 -64.412)
focos_ams_ontem_hoje_ref.12d6fe5b-72bc-3f85-9449-97c482c79d57,-57.281,-12.094,2019-07-08T17:45:00,AQUA_M-T,NOVA MARINGÁ,MATO GROSSO,Brasil,POINT (-12.094 -57.281)
focos_ams_ontem_hoje_ref.139bff72-ff91-3644-8de7-497f94cb7e26,-57.349,-23.696,2019-07-08T17:40:00,AQUA_M-T,Pozo Colorado,Presidente Hayes,Paraguay,POINT (-23.696 -57.349)
focos_ams_ontem_hoje_ref.13f01b0b-212f-3e42-939a-842f2654be29,-67.14,-16.96,2019-07-08T17:45:00,AQUA_M-T,Inquisivi,La Paz,Bolivia,POINT (-16.96 -67.14)
focos_ams_ontem_hoje_ref.14c5377c-1fc3-34fb-bd82-6c117b990bd9,-58.15,-24.579,2019-07-08T17:40:00,AQUA_M-T,Villa Hayes,Presidente Hayes,Paraguay,POINT (-24.579 -58.15)
focos_ams_ontem_hoje_ref.152b65a6-b687-3c89-b9b7-1face2779560,-55.558,-30.916,2019-07-08T17:40:00,AQUA_M-T,n.a12,Rivera,Uruguay,POINT (-30.916 -55.558)
focos_ams_ontem_hoje_ref.15752c98-5f78-3af1-bb85-00c0c12fc07f,-57.285,-26.772,2019-07-08T17:40:00,AQUA_M-T,San Juan Bautista de las Misiones,Misiones,Paraguay,POINT (-26.772 -57.285)
focos_ams_ontem_hoje_ref.16135374-ff94-3f91-93db-447dd77958bc,-56.148,-27.033,2019-07-08T17:40:00,AQUA_M-T,General Artigas,Itapúa,Paraguay,POINT (-27.033 -56.148)
focos_ams_ontem_hoje_ref.1678cbfe-e19a-3b53-9026-cbc9bc3d6364,-55.775,-12.613,2019-07-08T17:45:00,AQUA_M-T,SORRISO,MATO GROSSO,Brasil,POINT (-12.613 -55.775)
focos_ams_ontem_hoje_ref.1694ee9a-fc5f-3190-a920-9a3ddf1e2451,-55.375,-24.841,2019-07-08T17:40:00,AQUA_M-T,Yhú,Caaguazú,Paraguay,POINT (-24.841 -55.375)
focos_ams_ontem_hoje_ref.18213ff3-6c92-3097-9e0b-075ed0de5bed,-62.76,-28.203,2019-07-08T17:40:00,AQUA_M-T,Juan Felipe Ibarra,Santiago del Estero,Argentina,POINT (-28.203 -62.76)
focos_ams_ontem_hoje_ref.18573e7c-4756-3809-a8dd-e4ff8d19311e,-52.628,-31.494,2019-07-08T17:40:00,AQUA_M-T,CANGUÇU,RIO GRANDE DO SUL,Brasil,POINT (-31.494 -52.628)
focos_ams_ontem_hoje_ref.1878efd0-8f25-34c8-b2ed-a6696450a56f,-57.968,-20.133,2019-07-08T17:45:00,AQUA_M-T,CORUMBÁ,MATO GROSSO DO SUL,Brasil,POINT (-20.133 -57.968)
focos_ams_ontem_hoje_ref.19065569-cef9-3356-8603-dfcd4dce4159,-63.883,-13.936,2019-07-08T17:45:00,AQUA_M-T,Vaca Díez,El Beni,Bolivia,POINT (-13.936 -63.883)
focos_ams_ontem_hoje_ref.195e422c-04b4-38e2-8050-6342d6281718,-57.636,-29.525,2019-07-08T17:40:00,AQUA_M-T,Mercedes,Corrientes,Argentina,POINT (-29.525 -57.636)
focos_ams_ontem_hoje_ref.1a0bb51e-e184-3b06-857f-c6e2121bc29e,-63.869,-13.955,2019-07-08T17:45:00,AQUA_M-T,Vaca Díez,El Beni,Bolivia,POINT (-13.955 -63.869)
